,id,alg,hash,cell_type_maze_tu,cell_type_maze_s,cell_type_maze_T,cell_type_maze_c,sol_type_maze_tu,sol_type_maze_s,sol_type_maze_d,sol_type_maze_len
41,23df9bde-dafb-4728-9115-8538e23a30a9,problog_learnt,75fdc9c61abfcc058d457ce6e8df0d13,9,2,9,2,2,0,6,9
42,54a40744-8645-4b44-803f-490200c88f35,problog_learnt,ea30a1e84209fe43f47ffcf75f4e1f27,9,6,7,0,3,1,4,9
43,57ca0845-4a7d-4b8f-8c26-7679e2d20cb8,problog_learnt,851d77506dc8d83c425849c9afdef517,8,9,5,2,3,1,5,9
44,8f66e447-ddcb-4428-a40d-ebd6a6a82d53,problog_learnt,89b3af2470530153e9224586c1b5301f,5,4,11,0,2,1,5,9
45,040d3fe5-62a1-4946-bc41-cde8e0fb1d2f,problog_learnt,2a6a15da531ca9265cbc58d951af48cf,6,3,10,0,1,1,5,9
46,83a6eeb3-0d58-45eb-a2f6-9559a0d9b4ae,problog_learnt,dc6ec72dc3aa717bc198cb28f10fc8aa,7,8,6,0,4,2,3,9
47,817141c2-9187-4e41-8e3c-2545d6fa2be2,problog_learnt,482255953f69344862d9b8b3c857ee86,7,4,9,0,2,0,6,9
48,2d298cec-6bdb-4e28-ba49-55ff5b733515,problog_learnt,eaa5ad2270ade9a1583effbba5ce8a65,10,6,6,1,4,1,4,9
49,73a546b7-57f0-41d5-baa4-f4c8fe14177a,problog_learnt,f5c1ee61a90b9f549e7dcc94f210b733,7,8,8,0,4,5,3,13
50,7f07e2bc-08e7-4430-b30d-5458f7a868ca,problog_learnt,54c7339e226df702dfa9b2c8315f33f0,8,4,10,1,2,2,5,9
51,7d0d3091-afc2-4263-b723-13bf58aecd7c,problog_learnt,084bd5895c4e932a1b7ab3c96654460f,5,7,8,1,2,1,5,9
52,bf513d05-d3ca-4f60-b1b7-23d1b5fe64f5,problog_learnt,69493937d5f1ff65e883d5b1c25a4828,9,4,9,0,5,0,6,11
53,51ecb246-c505-4623-8d99-5de956b6f6e8,problog_learnt,941cbc82403e79b8a222842cff553271,6,9,7,0,3,2,4,9
54,70461780-10c1-4cf7-a7c3-e387f13400f9,problog_learnt,de27bd1bf79fa6386b04648de0eca9c3,4,6,7,3,1,1,6,9
55,989e3628-3fc9-47ea-b382-4a8631f1fc89,problog_learnt,8ba4f0ff64c4e99384b635e854db89fb,6,4,9,1,1,0,6,9
56,a3082af5-770c-4110-843b-11f54bfc33be,problog_learnt,84dfe084a14600585d7cc90072ae8ddc,5,7,9,1,1,2,5,9
57,8c59a6ed-ed22-48a2-adb7-c001aff1f835,problog_learnt,c7fc421cfe08ce2e72fa676888ec64c1,4,6,8,1,0,4,7,13
58,1de6d2b3-7be4-4cc6-b773-750c46a023ca,problog_learnt,e0f5b76af79c2b1f5dabd2b73f77a683,9,8,6,0,2,3,3,9
59,d6a99e91-ed38-4864-9432-9b864e083ac7,problog_learnt,2b48d9df0877866644e9acaeb1b8e82b,5,4,7,4,2,1,5,9
60,1fcfa082-c850-49c5-8455-56a022d3a5b0,problog_learnt,83669c5cf9ad3eb0afa45657da8721a4,9,4,7,4,4,1,4,9
61,68a7596a-9178-4229-97f9-69729ae457fd,problog_learnt,90f70cc5e85ba04b798f7bba6599a64e,2,9,7,2,2,3,3,9
62,227bc100-f9c7-4d12-bbc5-087c7f9d8a23,problog_learnt,9db2a28cfba1eb734ae43508b0db225c,6,7,9,2,3,4,2,9
63,d992b9b0-32e2-4ccb-b294-bbb56fdc25b5,problog_learnt,a601986d42359882f6d04068f1f8fcc0,7,5,10,1,3,1,5,9
64,12a762d4-7a44-4e79-aa0e-8a7bbde087f6,problog_learnt,af024e3cb31d46c97137011c771645ba,3,6,7,2,1,3,3,9
65,c0981647-7d72-4939-b54f-7d4d4fc6a3c6,problog_learnt,50291f448ef94a63a7e956425faa7ccb,5,10,6,0,4,4,4,13
66,6c1f921e-1be6-41f2-b235-74c85c65da0d,problog_learnt,57ef4941aad6ab5dee08f52cd31179f0,7,7,5,1,4,6,4,15
67,2d9d6964-e47b-4df0-b7d7-80d152db1a31,problog_learnt,a1d9d3caf9ce58e2eb29e7f2c333acb8,7,10,5,0,3,4,2,9
68,ace0c598-2468-48a7-bfc1-1e73dbb7f01b,problog_learnt,b34ab2d22d5d734fe3ee04d2e8823f8b,6,10,5,1,2,2,5,9
69,1b084e8d-3a4d-42fa-9cb6-df5db8d2f3d2,problog_learnt,949c2751eb8789ff7f8ede40dd4e4a56,6,5,9,0,1,1,5,9
70,7c7a318f-22b9-4c7f-8348-3b294812116a,problog_learnt,de6fcc5758ec02c3ce14dea720fe5f9e,8,8,7,1,3,2,4,9
71,48b3b604-570a-4ee7-8376-bde1961b40ca,problog_learnt,325702d0b305cc2f58eab4caea3f7413,7,8,6,0,4,5,3,13
72,0324d64c-3eaf-4ab8-a35d-72588882fdef,problog_learnt,98966aea113918d033bb152fe5f590d0,6,6,10,1,3,1,5,9
73,2fa2ff39-bc7d-41c4-9cbd-2c864c6d704f,problog_learnt,a18cc487bb734445e8cc75350793cab8,2,5,9,0,1,1,5,9
74,f7cc35ab-b7f8-440a-ae96-dc59f043a7c2,problog_learnt,f3c81202b78a20db4508689695774a0a,7,3,6,3,2,2,6,11
75,5b7cc737-5416-4881-a120-8828ddee7f06,problog_learnt,fe918a5dcba3d35d15fcf6ba9ec73d7c,6,3,8,0,0,1,6,9
76,c0a04b60-54dc-4933-9141-39938775e36b,problog_learnt,454404801bbf4375c8c821d0f949ae38,5,4,12,0,3,2,4,9
77,fa9132b8-238e-40c2-978a-04d7c93e1a2f,problog_learnt,ec77dde699225186dbbd965538c8a6a1,8,6,5,1,2,3,3,9
78,b68156a5-65fc-4459-ba9b-55ac426942f3,problog_learnt,2fb0bf41ef3666dbeb3fdf000922b3f1,7,4,8,0,6,3,4,13
79,af12e151-ae50-4418-8182-5fdbe543da6c,problog_learnt,7dffb265086e41b251863ff2f333a679,6,4,8,1,2,3,3,9
80,47faebf2-986b-491e-a747-c3eb9549d84b,problog_learnt,a45386418b9e39debbe11d0b1d9d63ae,4,8,6,1,2,4,2,9
81,787192d6-59de-4470-8f8d-13537fd75943,problog_learnt,136ebc72f61d67c3936a3c7afe9d7c59,7,6,6,2,2,1,5,9
82,959d3a5c-63e5-4310-853a-499bce972804,problog_learnt,a27cd2ded8e4e3743cdeb371d957155d,6,5,7,4,3,1,4,9
83,c3b4a02d-7ad1-43da-b9ed-7f82af4d62bb,problog_learnt,9742687d1b0a050a5f73ed090ec8f9bd,8,5,8,0,2,4,2,9
84,422af159-d263-41d1-adc5-1131aa94797f,problog_learnt,a4510547127f32b0559ebf2c2a2008be,6,7,9,0,4,2,6,13
85,88d36974-9d0d-49ee-80f2-593b10871fa5,problog_learnt,3bbc05f1971cd7040f666c198e4378c5,5,10,5,0,3,2,4,9
86,62b004e4-0225-4311-a100-151929df4666,problog_learnt,d1f98c988b04907120cfb06e68e712aa,4,7,9,2,3,1,5,9
87,7acf8c37-88f7-46eb-b1b0-a4cee7e70e31,problog_learnt,0902df6a316ec55bece0039c49004b30,5,3,12,1,2,1,6,9
88,173d7b4e-edbf-45fc-b0d1-1283140a7aae,problog_learnt,b8135aa93ca500ad8e5879b39d016e86,4,2,10,1,2,0,7,11
89,2554d1d1-6cc5-4959-90d3-dafea186cce0,problog_learnt,f75c9d5396a47fe5856c5138e88c403c,5,4,8,2,2,0,6,9
90,c4928004-8730-44b9-a198-13c0659e994f,problog_learnt,3a655f5b4c79eaab5a1a6f30cf2505cb,4,8,7,1,3,3,3,9
91,defcced9-54e6-4917-98d0-04243e54ca15,problog_learnt,0d9407564e3e9692942becd5702ce1b8,6,7,9,2,3,3,3,9
92,f896fad1-a5ee-442b-9842-3076f7c81c5b,problog_learnt,d927646fdc03cbb5369fd007ede4d4f5,8,6,8,1,2,0,6,9
93,f19b5538-5873-437f-9e32-2b43c363fa41,problog_learnt,3d2a7965ef42614bd2b45725e7982172,5,7,8,1,3,2,4,9
94,866040db-ba88-47ba-82ef-f201fd95c05f,problog_learnt,f3776c430780b7aa61275f699d8cbad4,7,5,7,1,3,2,4,9
95,2b553766-4eb2-4598-9d8f-be9dcfe3ee82,problog_learnt,1e00ea32c6ebe4e55fbf247ced7d7c18,7,4,4,4,3,1,4,9
96,4af51a3c-085b-4269-9fca-c18ed42f571d,problog_learnt,7b5669f4b88524776aa425e3839346bc,5,7,6,1,3,3,4,11
97,05ff7430-e9d4-4604-88e9-1f00f350678e,problog_learnt,2587d592793782d0c9fde73e803dea23,6,7,10,0,3,1,5,9
98,57130003-2784-494f-a056-3faf369cf5e6,problog_learnt,c62974cef701662132608989db9ad997,6,5,10,2,1,2,5,9
99,d6b901b7-8dd9-48c4-8bb8-eb1a5c83de81,problog_learnt,4e8aa6b4a18c4a3a845b5b0f433b14d7,4,7,10,0,3,3,3,9
100,9feae8d4-9ec9-4bbc-ba6a-1aa710865199,problog_learnt,ef709ebf2950c6f16b82b6f92c5ab0cc,8,7,6,0,1,1,5,9
101,6e99c438-6de5-4c07-b159-42a366667a85,problog_learnt,9871267766c0279f61ac5a1cc858f771,10,0,9,1,3,0,5,9
102,f040d5dc-e763-44e2-b865-51e71793a9ee,problog_learnt,f6e732061c7383c425baf7d632d86395,6,8,7,1,1,1,6,9
103,6799dc9a-7576-4121-85f0-852a75dc6795,problog_learnt,7f1e62b3a3b90097be78488dc3c458d3,10,5,7,0,4,0,6,11
104,95cf0b6d-da83-48da-ba54-71de0708d539,problog_learnt,03f9b0967d085acae5abe61a34396db7,5,8,7,0,3,3,3,9
105,0a04c6bf-c5f7-4c43-9d90-032cdb82341c,problog_learnt,62e0c04c357e190545e96ff3207ebd8c,8,6,7,1,3,4,2,9
106,99b9e7e6-79d5-4395-8c11-d90aad80d34f,problog_learnt,9fe09e9f72968f9b6f2a7aeeba5c6476,7,8,6,0,2,4,2,9
107,ddf1e22a-d9c3-41d1-b876-12a6237b3eb8,problog_learnt,794bfe06eddc017b57e4b45a75bd305e,8,3,8,2,3,1,4,9
108,1b1c992f-c77f-4c6f-8802-fdad00fcbeb2,problog_learnt,90e6bd76f6e4d16b64b1d0844c15124e,3,1,9,5,1,0,7,9
109,2eef1a65-1a2c-4e76-9e36-a9252e34bc76,problog_learnt,8a2f50cfa720184652f90f9782937094,6,9,8,0,4,1,4,9
110,7e1779bb-78ed-4006-be1d-4bc99642d4da,problog_learnt,acfbb4d65c03f99a26ed30213ac1c257,5,8,10,0,2,4,2,9
111,ebde182b-586d-4dfd-8694-eea9cbc28f4e,problog_learnt,fbedf742a3911db611c0e5a8b7a129a4,3,2,11,2,1,2,6,11
112,232256a2-4b26-4e15-9fb3-2c8a7e18ee4a,problog_learnt,d1f42f454897f030535ca5a97318b073,6,4,8,1,3,2,4,9
113,43f421d9-c785-4cf4-b27b-830d97f60f98,problog_learnt,bdd6b6e539d3d76131048f243533c8cd,6,3,6,2,2,3,4,11
114,934c3dc3-cb70-40bf-9da5-7d2e4fc16169,problog_learnt,53c8f2ce3fe2c27eae0a71b2f5c9da1f,3,6,9,2,0,1,6,9
115,1ac7bc5c-a285-4855-ae34-2ef0450dc3d3,problog_learnt,782a8210b76314fd6e7b2b16dcbcde9a,6,7,10,0,2,2,4,9
116,4a0f8b04-dd89-4359-8ccf-2fc8d477d82e,problog_learnt,829553a3db4cd7a57417b9f65769c619,6,5,8,0,2,4,2,9
117,853175cd-a7d5-46bc-9107-ae22182a3662,problog_learnt,4366c682b3a63883e6cbf3fd12b91b6f,3,9,7,1,2,4,2,9
118,48b0b6ca-370b-4213-93ce-6a4ed607c691,problog_learnt,ef522800ebe5da9739e98051c5fbf246,8,5,7,2,2,1,6,9
119,e6646ef7-738a-46ec-aab2-f9f7eba7eeb5,problog_learnt,56952191d5782b94c7b38f6776f3caaa,8,7,6,0,4,3,5,13
120,504807ed-82d0-44b6-888d-35c447489a7d,problog_learnt,7d68b09c75a6bb266c5a6c75a7313b9f,7,6,7,2,3,2,4,9
121,74450522-a40f-4c58-a3c5-a0832597e4be,problog_learnt,65328ced05d0586257a6dbc434dfcf71,7,3,11,1,4,0,5,9
122,8e071f1e-160c-44d0-ac34-4eed3411eefb,problog_learnt,a82edf4ec1c2728386c737d808bd6fd6,7,6,9,0,3,2,4,9
123,01a49571-6d5d-46a5-9b26-6d46bb2bdfe1,problog_learnt,ca632e64d68f9cf60d62452b38692bfe,7,4,8,2,3,1,4,9
124,945f9457-4743-4855-8e7b-efec16992f1a,problog_learnt,064c55aaba896663616ac0ae4ee597c9,3,4,12,2,3,1,5,9
125,61135946-53a0-4387-9e10-f5e5aed50952,problog_learnt,e0b5cbc7cb01375e64ebf1a89b3b0931,8,6,7,1,4,5,5,15
126,7ef8d811-ebc2-4273-8c8b-cb5567ecea82,problog_learnt,997fac9d4fd5f8ba9be132499672cc89,6,5,7,2,2,4,2,9
127,7d01e062-67fa-4494-b370-1f559ee82a90,problog_learnt,4c72cb0531994cc8842185c284c5b6fc,5,4,14,0,3,0,6,9
128,39a2a318-1da8-4610-bda0-e17bb760c9ca,problog_learnt,140040a796d8f9799c51838a77925585,9,4,7,0,3,1,6,11
129,3d628ee0-d741-4d1b-9910-dcbf3d8bfe48,problog_learnt,88269365023c5142192a4bc2f31a19d1,7,5,9,1,3,2,4,9
130,228dc4ca-fd8f-4922-a7f9-4d3da7aa8877,problog_learnt,d8b20d735b39f230694f2114fc1ca923,5,6,8,0,2,3,3,9
131,5489ed7d-53a1-412d-b10b-46ebe6a82426,problog_learnt,8bf2dab16cb042621055dc6ac59590c2,5,4,8,4,3,0,6,9
132,0256ff00-57fe-4180-938c-4caa92fe1cbd,problog_learnt,91f0687d83f6999a16cd720891631f52,7,2,11,0,3,0,6,9
133,4d991fdf-b039-436d-bf48-2f5475bcb649,problog_learnt,0fc0e4bbf151fb6b86525d566e91104f,3,2,11,2,2,2,6,11
134,3078807f-3442-4272-9cf0-2d90bec0737f,problog_learnt,17f30e288cd232afdf3f379ef1c39235,4,7,7,0,1,3,3,9
135,958bfb6f-67c5-4071-a2cb-d5b7a1febace,problog_learnt,82820338e578036c6370885085d93135,7,6,7,2,2,2,4,9
136,ab7b5c01-28d2-4e17-900b-68b8899b8afd,problog_learnt,c38cd6b7e04d7d49a8dcf14732b29e15,9,5,7,3,5,0,4,9
137,71c35162-e1a2-45d0-8087-7ae39fd9af0e,problog_learnt,8d3bf21b9160d59d7216b546d88d07a2,7,7,5,1,4,1,4,9
138,0b748c85-568f-48db-bf51-e44cdfb5777d,problog_learnt,0de893e4bae6a4a1f5e5d5e68c7955de,7,6,6,2,3,2,4,9
139,1f43444e-3510-4d5a-acf5-c8e5146cd2a5,problog_learnt,1ac2189f38bde29d7f5e4d61307cf67c,4,5,8,2,0,2,5,9
140,515ad6bf-971c-4625-9cc1-6773bddb67f0,problog_learnt,24bcfef689165050b26c04e7a5348bcf,9,6,5,2,3,3,3,9
141,249e1209-6418-483c-82ca-29a40967bc30,problog_learnt,9b9aef1193343bfe0921a28f980837cb,2,9,9,0,2,3,3,9
