,id,alg,cell_type_maze_tu,cell_type_maze_s,cell_type_maze_T,cell_type_maze_c,sol_type_maze_tu,sol_type_maze_s,sol_type_maze_d,sol_type_maze_len
64,ce680296-116c-4347-8d9c-9c8612272924,problog,8,4,9,1,3,2,4,9
65,9afa9552-5bad-46db-a246-594faf13cae7,problog,5,5,8,1,2,2,4,9
66,2e3767ba-4d0c-455a-91cd-71b55690affc,problog,5,2,12,2,3,1,4,9
67,37f49326-daf3-402f-a4ff-3cf35141aa36,problog,8,5,6,2,2,1,6,11
68,cd5e4caf-4d77-4c34-84b0-7b4f38e30cad,problog,8,2,8,1,1,1,6,9
69,2c5059f6-21d3-4229-a095-88089313af6a,problog,7,7,8,1,1,0,7,9
70,8bdd8d29-389d-455f-a2e9-de272f24c109,problog,5,6,8,2,1,2,5,9
71,069321af-b3ea-4832-b40a-eda3d920b10d,problog,6,8,5,1,3,2,5,11
72,596dab30-ef78-4d98-a91b-3d807f65e7e1,problog,7,6,6,2,4,4,4,13
73,e81eba81-0e33-494c-a99d-d34d9eaa30b9,problog,6,5,6,4,0,2,5,9
74,11f9f86b-bb4a-4103-9362-29205fc47f62,problog,7,3,11,1,2,0,6,9
75,07e2ba2c-d60c-4b21-aad0-0902bea1388d,problog,7,5,9,1,2,2,4,9
76,c8348850-fc21-4635-89dd-c9ce3481a43b,problog,6,9,2,2,2,1,4,9
77,d6fe5e77-c2a7-4050-8f20-d6cb9bb03a55,problog,7,2,10,2,1,0,7,9
78,563689a4-c7d7-4de5-827c-d648722157dd,problog,7,2,7,2,1,0,6,9
79,f0c95aa0-f8aa-4463-a18a-0905a1762328,problog,5,7,7,1,3,2,4,11
80,dbaed47b-0513-4927-8177-3d7377184dd5,problog,7,4,10,2,3,0,6,9
81,6dde168e-6f61-4e6c-87ea-46f611c20659,problog,5,6,11,0,2,1,6,9
82,d998a663-321b-4a7d-bcca-778ea8178dca,problog,4,5,9,2,1,1,5,9
83,96253fb8-9a17-4aa6-b3a9-b89eef0e6be5,problog,10,2,9,1,1,0,6,9
84,2e6974c5-b80a-4346-9f60-83fbebec9c87,problog,9,10,3,0,3,6,2,13
85,f7e24489-49f4-4fd4-8c03-4b89990c91b2,problog,7,4,4,2,3,0,4,9
86,3d57a55a-d084-4bcc-8f53-70959c83af37,problog,7,4,8,2,2,0,6,9
87,1ca4f347-4a62-4c16-85ba-b4e7736a53d8,problog,5,6,7,2,2,1,5,9
88,352f423e-d207-4403-89dc-81a44f560d61,problog,10,3,7,2,1,0,7,9
89,311252cb-5c2a-488c-ab91-9d11a0a1084c,problog,5,6,6,4,3,1,5,9
90,282a9919-edfc-48e5-9c9d-d8187ffcdb58,problog,8,2,7,1,5,0,4,11
91,bd119710-a92a-4c98-ac1f-3737e8d01021,problog,8,3,8,4,2,2,4,9
92,a1d197cb-ae34-4985-a8e8-de6002a0e0cb,problog,6,2,7,3,1,0,6,9
93,b04b27d6-3187-49b1-ba4e-6291384a8719,problog,8,5,8,0,2,0,6,9
94,f81c9c12-37cd-402d-bbbc-d83ccc70b044,problog,7,7,7,1,2,1,7,11
95,b115f751-5dd1-4fb1-9305-9400e38176e1,problog,6,7,5,2,2,2,4,9
96,0f91b209-dc8b-4ed1-a2d6-0fc20828423c,problog,5,2,8,6,3,0,6,9
97,f2365c53-0fae-4cd7-be47-659c56e621aa,problog,10,4,4,3,3,3,4,11
98,391ade3a-713c-4c44-b428-440e4caed534,problog,9,5,4,1,4,0,4,9
99,4ca0ed56-035d-43a7-a5a9-097e737b67e0,problog,6,6,7,1,2,3,3,9
100,30432f47-a532-48ae-ba5c-de0d3fe55c0d,problog,5,5,9,1,1,1,6,9
101,27f9783d-aa1a-4b28-ad68-2458a7cfe6f8,problog,10,4,8,3,3,0,6,9
102,31eaa98e-d184-4664-a865-9224ba99614d,problog,7,3,6,3,3,0,5,9
103,7711518f-1df9-4aa9-b461-f7a15e473556,problog,7,4,9,2,0,0,7,9
104,f981c429-4303-4dee-86f7-a468cd800c43,problog,3,7,9,1,1,1,6,9
105,2efd5ae7-59c5-4f60-bb71-e60a5e10dcb3,problog,5,4,12,0,3,0,6,9
106,48a67f99-e767-43d2-a3ba-6652ef92274c,problog,7,5,6,1,2,0,6,9
107,d3ceb8e9-551d-44aa-9f9b-91afbabd9ecc,problog,5,6,11,0,3,2,4,9
108,7dc06d2e-d42b-496d-9ece-e12f3abd7715,problog,6,4,11,1,3,1,5,9
109,4dfc8234-838c-4959-af67-c2a1c2da0ddd,problog,6,5,6,2,1,1,5,9
110,1d5c08ce-1392-4b5b-b209-b81819794d58,problog,5,3,8,1,2,0,6,9
111,f88e77ba-4df9-4706-a176-1528ccd1ecb4,problog,3,2,10,2,0,1,8,11
112,31edd110-d7e7-4d90-a01e-f711605e5fea,problog,7,4,10,0,2,0,6,9
113,90c24066-4831-419b-97c2-35aec7c0f088,problog,8,5,10,0,3,1,5,9
114,33f5fbef-b558-4429-b6d6-c441947e2121,problog,5,4,11,0,1,2,4,9
115,cc02b7c7-6ba1-468e-8e55-2eacb14b5852,problog,5,5,7,3,2,1,5,9
116,aa7c7972-18a7-4dc1-ac17-d5cadf7444db,problog,9,4,6,4,2,0,6,9
117,2336b816-9814-4778-ad80-b597322edea2,problog,10,6,6,1,5,1,3,9
118,2de3ee96-e1d5-4c92-be81-edcdc0b8e56e,problog,6,4,5,1,1,1,5,9
119,120a7700-3301-4c37-944d-547da4a71078,problog,7,5,7,1,3,2,5,11
120,cb81ef08-7da6-4969-9c54-4efb001736bc,problog,8,5,5,2,1,2,5,9
121,398bacd6-4a8e-4b9c-a6cd-421a5e4d2785,problog,7,3,10,1,2,0,6,9
122,4dbdb241-56f4-494b-a501-705607aa8c1d,problog,8,4,9,1,2,1,5,9
123,03474849-ca17-44d9-b65b-19febbe6f275,problog,8,4,7,1,5,2,3,11
124,ae10478a-9232-4739-a9cb-7fd83680c9ba,problog,8,3,6,2,1,0,6,9
125,8b3a2309-156d-4265-816d-8c7ecb53dc2b,problog,7,3,10,1,3,0,6,9
126,e640fe78-dca5-4f69-a1d0-488f19819b26,problog,4,6,12,3,3,2,4,9
127,0a7f3ec6-64a3-46b2-86ba-bf58aefd4a2c,problog,4,5,11,2,3,0,6,9
128,a9f990fe-db51-4e35-9c09-d2c9d0e9577e,problog,10,3,7,2,3,0,6,11
129,4681b586-1de8-4551-98db-40208d06fa0f,problog,8,3,10,2,2,0,6,9
130,5116be48-6de3-4eb1-af4f-ad0b1a83c019,problog,7,5,6,1,3,1,4,9
131,0d2f4809-f4a9-455c-ab3c-02741b1523b0,problog,10,5,5,2,4,2,5,11
132,ac61075a-24c0-42fd-8c11-b0e0e0080065,problog,6,5,9,0,2,2,4,9
133,7d974784-b6da-48bd-940c-1ca53641b2b8,problog,8,7,5,0,3,0,5,9
134,ab5d16f6-73d5-458b-9cf6-1ebf17722902,problog,9,5,6,1,4,3,3,11
135,f92397f1-5814-4de2-a88b-df28906337fb,problog,8,9,4,2,2,4,2,9
136,bdd3ccc0-8c4e-4b81-bbda-5100e32f5e23,problog,6,6,6,1,1,1,6,9
137,dc5611a6-df05-4a1a-8ad2-00a74f0df3eb,problog,7,8,6,0,2,2,4,9
138,97e1866f-ada4-445a-a28f-0eec79d475d0,problog,5,4,8,2,1,3,3,9
139,0ecf5b89-e376-437f-a41e-a5f2da5c3a34,problog,4,7,9,0,2,1,5,9
140,9ca75635-423f-4ec7-91b4-9faa12ada08d,problog,5,6,11,0,1,2,5,9
141,af9598de-2fed-4263-9f60-51a1307cc739,problog,4,4,11,3,1,0,7,9
142,f2353eaf-dbed-4f5f-b50b-e359207b6568,problog,8,4,6,1,3,3,3,11
143,184cc3fa-51f0-468f-b366-49048f407dbf,problog,4,3,12,2,1,1,6,9
144,5eedfb63-41e4-4432-acaf-95cc62f5b700,problog,7,4,7,2,1,0,6,9
145,032dcc9b-3aa8-4295-9abe-26a2a0bff1d8,problog,5,5,10,3,3,0,6,9
146,115629c7-52ea-4332-8ce8-aeb46f39427f,problog,2,4,9,3,0,0,7,9
147,09e5e833-e358-4430-9fe7-852e9c92f3ac,problog,7,8,7,0,3,0,6,9
148,75cd38ee-57a9-4a65-a251-c1248e4b00d5,problog,5,6,9,2,2,1,5,9
149,c8c1aec4-b01f-4e6e-9059-f6aa9a2314ff,problog,2,3,11,2,0,0,7,9
