,id,alg,hash,cell_type_maze_tu,cell_type_maze_s,cell_type_maze_T,cell_type_maze_c,sol_type_maze_tu,sol_type_maze_s,sol_type_maze_d,sol_type_maze_len
1759,29f8e7d0-9ddd-4f9b-b109-8e24c8b226fc,asp,314dcbe28bd29314f0def43f679aec30,5,8,5,0,2,3,4,11
1760,fa170b4e-ff1a-4e3c-9cc6-92e7026bf93e,asp,dd3c4bb852ec76cc60cf5eb7f4397d35,7,5,5,1,2,4,2,9
1761,d5fba583-25e9-462e-a874-30fd85ec9571,asp,1c5bc18d468e7d7d171e88e0c8e0628c,3,2,10,0,1,2,4,9
1762,5896fa82-2650-4fad-beef-5234124164e1,asp,1c5bc18d468e7d7d171e88e0c8e0628c,3,2,10,0,1,2,4,9
1763,27b98303-a42f-4e28-b395-b3f1193bf5bb,asp,625a41ce8f6e1a46ecf6d2bfbdd88049,4,2,8,1,0,0,7,9
1764,e3cdfa61-9553-48a4-b3a8-40694d48361b,asp,b436369616185834d832e2724308fccb,8,3,4,2,2,1,4,9
1765,5c3f582a-d404-4ce7-9168-5b8575c88b3e,asp,e33e8a045060b26421c3b54a45e6dbaf,2,13,4,0,2,2,4,9
1766,14cb16c8-a393-497f-bc92-0d6cb1e35ffc,asp,c77ef1f2ecbb69e4a30934d8d3348fdc,5,12,4,0,1,3,3,9
1767,28993114-fc41-42dd-b9b5-06ffe5a0d253,asp,09f41d8bc36376a9ef93d520b3168400,4,6,6,1,3,3,5,13
1768,22696aac-0b83-4ff9-8a8e-d49f36b27423,asp,fef712aff4cb490022058e8288cc4922,9,5,4,1,4,2,3,9
1769,ea5b5cac-09aa-4075-9da5-d8e32858b97b,asp,4b7af7a458f9d9a3560850461fe5290c,3,8,7,0,1,2,4,9
1770,b6b55ba6-465d-47b8-a21d-e8081f7973cc,asp,d07c70557846245e1c054c86e7ab91a9,6,3,7,0,3,3,7,15
1771,1e7958b3-198d-4394-b9f3-e06f4d1d5152,asp,bc5cfac9d673cc3d95ec048d5c6741e3,5,3,3,3,1,2,4,9
1772,8d66f16f-75a1-4aeb-b836-c7113ec7b925,asp,8c62c6b7abde85c2eddb5c3ae0a234ab,2,6,7,1,1,2,6,11
1773,8b9405f6-c069-4652-bdcc-9087b344a1f9,asp,f6552d07c058802f66ad6b47f1632b59,3,6,8,0,0,1,6,9
1774,b449f19d-bbfc-4f9a-a602-1788e0c4886b,asp,8dbcaf7f7fcf5ed7161b25b20dcfd48b,5,7,5,1,2,3,3,9
1775,bd24a558-c235-47cd-ac8a-dc89acb13b47,asp,cd19d47d7e9010cafe70b23b5f906868,6,9,5,0,5,3,2,11
1776,a78212ce-6cc5-43e7-867f-adb231cd84fe,asp,d5ceb3952f4173537ced9c269aecd0f0,7,3,5,1,2,1,5,9
1777,8e76f777-c9a7-4f85-9504-03207af95d08,asp,ffe0305a11d029894e199271d8e67bf2,5,8,6,0,2,4,2,9
1778,ead90797-01bc-4a2f-9162-f5a021aa388f,asp,7411944712e3f3a8bf4b8a6225849dd7,2,6,6,1,2,1,4,9
1779,fb6f6278-2c50-481f-b43f-84582e19b846,asp,fef712aff4cb490022058e8288cc4922,9,5,4,1,4,2,3,9
1780,be6dec06-e158-483a-9c17-889c976d3c45,asp,09f41d8bc36376a9ef93d520b3168400,4,6,6,1,3,3,5,13
1781,05bd57aa-f139-4bc4-a826-b5e49f786e02,asp,716e2f93caeb0f51491579d668b9801d,6,5,4,2,2,3,3,9
1782,0aa69a18-2c23-4b07-b7d9-6939e35d0075,asp,9ef39a24050aa3abf1958fa45fc54187,6,5,6,0,2,3,4,11
1783,78f7ecf4-5a29-4702-8131-1d5289f26484,asp,4ab2cb12fdeab7ed42288906cd2ef6f7,6,9,2,2,3,4,1,9
1784,6a9a94a1-c833-431f-bef4-ccb0accabd5e,asp,68c02980abe6654eb8612dae94d91dc0,10,4,4,1,5,2,5,13
1785,07082c67-aa23-40ff-bb8c-697524de781b,asp,e2de4e7b6df12897bf8ca44635da85ad,4,13,4,0,4,2,3,9
1786,3851592f-ad17-435a-9fa0-29da9388ca9d,asp,f84b620390b7d5f1c8dc8a71daacbb06,5,7,5,1,3,3,2,9
1787,0b71da1f-0951-4a29-897d-b37572f4da66,asp,8cae55499a2d1ffcf45e34cd23a76aa5,4,5,7,0,2,3,5,11
1788,15dd4dc0-36ff-47f7-bbab-269f488fa00b,asp,b6462a2aa2701599e49c72c88ba22e08,6,5,4,2,3,1,4,9
1789,b815b4c0-45a8-4bfa-a832-d675a8b9e621,asp,e37502dc26dfe9ab56ecae4edfa0d6e0,2,15,3,0,2,3,3,9
1790,76d44bc5-ddbd-4e09-9514-1934b7688c62,asp,09f41d8bc36376a9ef93d520b3168400,4,6,6,1,3,3,5,13
1791,06d0e9b0-1057-498c-90be-c5464ea852a8,asp,c2804af9e41d1ca7332cc87342027a1d,8,5,5,0,4,2,4,11
1792,dd25c3ab-1cd3-4872-b3bf-49c874e96eee,asp,72719efc4e17a6ad369a5eb3d7652668,10,5,4,0,6,2,1,9
1793,73280623-4f93-448e-953f-448a9f62f6d0,asp,dc298da6aeeb139142f62fe0502119c0,6,7,5,0,4,1,4,9
1794,9ad5e671-9a84-4cac-92c1-92eae6250e00,asp,1dfacdf25c71a3f30638465e40a7ed65,3,9,5,1,1,4,2,9
1795,04816df8-5f79-4707-8353-9e19a0853713,asp,4fba74401b55a808e786ff3375614484,5,5,6,1,3,1,5,11
1796,bb006a99-7b33-472b-8d41-f918d96c3d6a,asp,b6462a2aa2701599e49c72c88ba22e08,6,5,4,2,3,1,4,9
1797,266ea9d6-69ca-48d0-9183-3a9569630837,asp,625a41ce8f6e1a46ecf6d2bfbdd88049,4,2,8,1,0,0,7,9
1798,e3d8eaf2-3972-4041-961d-19d70fb64fc6,asp,2e8397bd8734ccf49ecf9a0bc7d7626f,9,7,3,1,5,1,3,9
1799,bc9d29a8-e210-4957-9d66-929f06484d71,asp,2aff2f59ecd1d1aba8ad104a8245aa9a,7,9,3,1,3,3,4,11
1800,aa2b9883-6ef5-45e3-8f08-9afec3c8d902,asp,1ece66582d98cf84e957dee20204b704,9,5,4,1,5,3,4,13
1801,cfb9dd8c-6bc3-4199-b812-2387e19b2164,asp,628e4794ed7d06b277edcb2789a3fc93,6,13,2,0,2,4,2,9
1802,ef04a3ee-9cb0-4b40-946b-db78203a24e6,asp,6c55df02126d9d99d49a13bbc12a20b7,5,10,5,0,2,1,4,9
1803,4696c7a6-ce12-41c6-9a8a-04166fb33cea,asp,f84b620390b7d5f1c8dc8a71daacbb06,5,7,5,1,3,3,2,9
1804,47fa8631-d049-442d-9ac9-a7bec1ab2b00,asp,b186cf5b2c53ecf5e4744dea57e7a419,7,8,4,0,4,4,3,13
1805,02ba3264-c4ab-43f8-8e1f-587a61aa2c2a,asp,1ece66582d98cf84e957dee20204b704,9,5,4,1,5,3,4,13
1806,b7cb12f4-4b4c-4d22-baff-661eb04e4096,asp,2e8397bd8734ccf49ecf9a0bc7d7626f,9,7,3,1,5,1,3,9
1807,ab4b2ce4-d06b-4363-bf7a-61cee6181511,asp,68c02980abe6654eb8612dae94d91dc0,10,4,4,1,5,2,5,13
1808,21821215-215e-4c01-b291-8f052d291a71,asp,d6a749d56cde079291e3a104631d2aba,9,5,4,1,5,3,3,13
1809,1b7f323e-d7a0-454f-92df-b06c0b120d14,asp,e1794cda01c0be14867e73f3fd0404b2,8,4,5,1,3,1,5,9
