,id,alg,cell_type_maze_tu,cell_type_maze_s,cell_type_maze_T,cell_type_maze_c,sol_type_maze_tu,sol_type_maze_s,sol_type_maze_d,sol_type_maze_len
59,dc1b09fe-747c-4536-932c-c46a591d1d6f,AldousBroder,4,11,0,0,3,6,0,13
60,012f1b81-f1c6-4c02-bf90-5be5a236a2e1,AldousBroder,5,10,0,0,5,7,0,17
61,28be2249-7f44-4e76-9089-3772b1029e01,AldousBroder,3,8,2,0,2,4,2,13
62,8de59a0b-ce66-4770-8f72-67bbff6b482b,AldousBroder,4,11,0,0,3,6,0,13
63,134c9b26-b8e9-4094-b53a-578f3b673f2f,AldousBroder,4,11,0,0,4,5,0,13
64,da12a1dd-1a70-4965-aa3c-6e2d992acc02,AldousBroder,3,10,1,0,2,5,1,13
65,be5afd1e-3b3d-49dd-b9d9-173caf885030,AldousBroder,5,10,0,0,2,6,0,13
66,e6fa4b8b-318b-41c8-988f-624983c767a3,AldousBroder,5,10,0,0,2,6,0,13
67,4ae559ab-9f49-4db7-bd0c-64576a489aef,AldousBroder,4,9,1,0,3,4,1,13
68,cc1b82f9-069e-466c-9e27-ee888fb075a0,AldousBroder,4,9,1,0,4,4,1,13
69,23c1ef6d-dac1-4cda-8847-93de81785f07,AldousBroder,4,11,0,0,2,6,0,13
70,7d60bdfc-9a8e-48df-aa7b-70f8608c8499,AldousBroder,4,11,0,0,3,6,0,13
71,d362e4b3-b1ef-4bac-8f89-fba942190f8d,AldousBroder,4,11,0,0,2,6,0,13
72,a79e6df0-a1e4-47ef-b123-deee8423fa2f,AldousBroder,5,10,0,0,2,6,0,13
73,be658731-dd38-478c-8b4f-67b844047c51,AldousBroder,4,9,1,0,4,4,1,13
74,dd4fb518-b7b8-4e5c-90e4-e6672443968a,AldousBroder,5,10,0,0,2,6,0,13
75,8f10f2cc-409d-4b48-a8f0-36f0e95f8358,AldousBroder,4,9,1,0,4,4,1,13
76,ae441435-2dde-4239-a6ce-a5399320fd25,AldousBroder,3,10,1,0,2,6,0,13
77,5693d2bb-309b-437f-a316-5d8dff174273,AldousBroder,4,11,0,0,4,5,0,13
78,556a70a7-39bd-4f8a-8f64-9bd4a57f811f,AldousBroder,5,10,0,0,2,6,0,13
79,b4faa63c-f684-46f3-ba37-4518db7f3ac3,AldousBroder,4,11,0,0,4,5,0,13
80,892f53ea-3e9c-4a52-8e10-ec78e49de8c7,AldousBroder,4,11,0,0,2,6,0,13
81,1d698647-c7a2-4fab-8fc1-a9e23d2b8b9c,AldousBroder,4,9,1,0,3,7,1,17
82,9ee8e68a-cc11-404a-a5f9-c568d42afa9f,AldousBroder,4,9,1,0,3,7,1,17
83,0d82016e-2624-4445-8f99-4449f459f36f,AldousBroder,4,11,0,0,4,5,0,13
84,fb5bcb27-6627-448c-9585-2e98fb96bcce,AldousBroder,4,11,0,0,4,5,0,13
85,7134e6fe-0680-4d1b-a954-554e1eae76a0,AldousBroder,3,10,1,0,2,6,0,13
86,292e170e-20f6-4179-a292-ea11525e13b5,AldousBroder,4,11,0,0,2,6,0,13
87,7cd816a8-5894-41a3-a0c3-e4fdbf0d7149,AldousBroder,4,11,0,0,3,6,0,13
88,000bd3d3-5480-47e1-ac70-3de3c504c210,AldousBroder,5,10,0,0,5,7,0,17
89,611d30e6-f651-4231-949c-a88aef079d63,AldousBroder,5,10,0,0,2,6,0,13
90,3a1b93e7-1f41-4e21-b38c-eddcac54d8d2,AldousBroder,4,9,1,0,4,4,1,13
91,e4cdfb26-4faa-4a76-be5a-1a4520f259e2,AldousBroder,4,11,0,0,2,6,0,13
92,105d048c-555b-4255-aef8-d77c3b7b5fa5,AldousBroder,4,9,1,0,4,7,1,17
93,363eab48-eb0d-496f-aa31-f2507acb5ed7,AldousBroder,4,11,0,0,4,5,0,13
94,1b919d72-4aa6-4940-83b9-5c03da432d05,AldousBroder,5,10,0,0,2,6,0,13
95,7151a2bd-ca0a-417c-befc-fc18b5e0d486,AldousBroder,5,10,0,0,5,7,0,17
96,1050f560-02de-48a2-929b-40bbeffb40b6,AldousBroder,4,11,0,0,3,6,0,13
97,2595dec4-aba6-41b0-bd94-09d8642dfa4c,AldousBroder,3,8,2,0,2,4,2,13
98,c279e156-0680-421c-9858-580002309c24,AldousBroder,4,11,0,0,2,6,0,13
99,ac0f87bb-c091-4fec-94d0-987f451362ed,AldousBroder,2,9,2,0,2,7,2,17
100,e88d5c06-96b4-4f6a-bd13-06c75775ac37,AldousBroder,4,9,1,0,4,7,1,17
101,146f0572-508e-4b3a-a0ed-d0461a93f3a5,AldousBroder,4,11,0,0,4,5,0,13
102,d0182859-ea5d-4f0b-930c-e33522ead695,AldousBroder,4,11,0,0,4,11,0,21
103,f4f0706e-a67c-41fe-ba90-e6878d7b3af0,AldousBroder,4,11,0,0,4,5,0,13
104,f7a8449e-491f-499e-9a9c-1084e63b0092,AldousBroder,4,11,0,0,2,6,0,13
105,b1845030-d1b0-4fd4-9003-81cf1f36c19d,AldousBroder,4,9,1,0,3,4,1,13
106,b9c7d7af-24ec-4427-93c8-4f75187e3ca1,AldousBroder,4,11,0,0,3,6,0,13
107,b04c6cb7-807f-47fd-9b83-143b02deaeb9,AldousBroder,4,9,1,0,3,4,1,13
108,34d4c66f-ab04-4b29-b8dd-392b95e7b80d,AldousBroder,5,10,0,0,5,7,0,17
109,bcf51e67-43f5-41e9-8400-50c9f491b8a4,AldousBroder,3,10,1,0,3,6,0,13
110,0c9ab21d-aad5-4916-86c8-38e1f5e381e0,AldousBroder,4,9,1,0,3,4,1,13
111,9200f219-7b8f-4728-aac9-3c09df232000,AldousBroder,3,10,1,0,2,6,0,13
112,cf24190b-4b1c-4d3f-b72b-121f3651823b,AldousBroder,4,11,0,0,4,5,0,13
113,e717a777-e79c-442c-9e35-8c41defdddb7,AldousBroder,5,10,0,0,5,7,0,17
114,97142e92-3725-4b5f-b02a-4e862ec04013,AldousBroder,4,11,0,0,4,11,0,21
115,87b136ca-62be-446f-a9fa-560a589a2060,AldousBroder,2,9,2,0,2,7,2,17
116,0e229532-7d25-450d-9df5-e7cd4f2d1642,AldousBroder,3,10,1,0,2,5,1,13
117,606739b2-9a0e-42a4-8af2-ac84fc6de2f6,AldousBroder,5,10,0,0,2,6,0,13
118,62a57299-c916-4bd9-97ff-bf93a50c7f66,AldousBroder,3,10,1,0,3,6,0,13
119,5f229157-8eb0-45b5-a188-8167c4905826,AldousBroder,4,9,1,0,3,4,1,13
120,ca7d2af8-5b47-4c36-9340-8d02d4df9984,AldousBroder,3,8,2,0,2,4,2,13
121,d9ef709d-63b0-4349-9b33-845f681664cf,AldousBroder,4,9,1,0,3,7,1,17
122,495c74b9-8a7b-4ddb-b057-e8f4a2ac1fa9,AldousBroder,4,9,1,0,2,5,1,13
123,ed70ea28-430f-4c0c-a69a-b8a0b85ef8c9,AldousBroder,3,10,1,0,2,5,1,13
124,b9e5c2cc-20c0-4050-a3f1-156b11b4e2ec,AldousBroder,4,9,1,0,1,5,1,13
125,9875a307-09d1-4312-af1b-51a7533132a0,AldousBroder,5,10,0,0,5,7,0,17
126,052b757c-0a86-403d-b7ec-7300f36c9a33,AldousBroder,3,10,1,0,2,6,0,13
127,c40113a3-8a8d-4ce5-8afb-32120ac33561,AldousBroder,4,11,0,0,4,11,0,21
128,141686ab-b2b7-4376-b408-566daf263fee,AldousBroder,5,10,0,0,5,7,0,17
129,32e742bd-8d25-4f36-bdbc-6be4fc7a231f,AldousBroder,5,10,0,0,5,7,0,17
130,f3c2c490-34ee-43bf-9265-91ae7cda45c4,AldousBroder,5,10,0,0,2,6,0,13
131,2a8a5caf-803c-45a1-8b1b-a4d199e5e46d,AldousBroder,4,9,1,0,4,4,1,13
132,36e9eede-16cf-444f-ad0a-bc949e0c39f5,AldousBroder,5,10,0,0,5,7,0,17
133,09868bfc-dd0c-4014-b600-f6ad53a1a7b3,AldousBroder,5,10,0,0,2,6,0,13
134,d5d218af-65a0-4695-9436-ff440676b9cd,AldousBroder,4,9,1,0,3,7,1,17
135,0d72d351-b0f0-4e7c-9e01-0f36e7b4f68a,AldousBroder,3,8,2,0,2,4,2,13
136,6c1cc963-7199-416c-a389-8f8a489a2dc3,AldousBroder,5,10,0,0,5,7,0,17
137,e083eda7-885b-4048-a108-e803624b84a5,AldousBroder,5,10,0,0,5,7,0,17
138,095ab27e-16ab-479b-a946-7fe2038edcd1,AldousBroder,4,9,1,0,3,4,1,13
139,96968f76-ed69-4731-9320-c1d9058fef87,AldousBroder,4,9,1,0,4,4,1,13
140,9d2a6a90-05e3-4f2c-93dc-edb3cc29dedc,AldousBroder,4,9,1,0,2,5,1,13
141,3347a5c0-40cc-4bdc-a925-a820ab1181fa,AldousBroder,3,10,1,0,2,5,1,13
142,ba36b145-5a46-4e87-84aa-2c846ac55124,AldousBroder,5,10,0,0,5,7,0,17
143,aad33efd-ea35-4e1c-9873-1000db4e6191,AldousBroder,4,11,0,0,4,5,0,13
144,3db1adaf-ccd4-4d19-8431-fd9691aad5ac,AldousBroder,5,10,0,0,5,7,0,17
145,84ce2733-54a3-44fa-8189-02af0e6d0ca0,AldousBroder,4,11,0,0,4,11,0,21
146,761acd21-91d7-4979-b486-acb99098e618,AldousBroder,4,11,0,0,2,6,0,13
147,a6064d52-f9bf-4908-aaf5-88e9e70ca3a0,AldousBroder,4,9,1,0,3,7,1,17
148,876d9ebe-ac9c-42b3-9ae9-68c0ff3f468e,AldousBroder,4,9,1,0,1,5,1,13
149,3b0895d5-143b-4d2d-8464-0b9ddc47cad1,AldousBroder,4,11,0,0,3,6,0,13
150,c7b4ed10-77a7-4996-9a87-81aa4e130e8b,AldousBroder,4,9,1,0,4,4,1,13
151,795870a8-1fa7-42fb-afb7-12730b699f52,AldousBroder,3,8,2,0,2,4,2,13
152,d546f541-54f3-4b9e-8250-2c33cac32962,AldousBroder,5,10,0,0,5,7,0,17
