,id,alg,hash,cell_type_maze_tu,cell_type_maze_s,cell_type_maze_T,cell_type_maze_c,sol_type_maze_tu,sol_type_maze_s,sol_type_maze_d,sol_type_maze_len
1647,2183b30e-413d-44bb-9888-c3b8106afd9f,asp,445e20f0a11f5dbabdb4c6de94a69f75,6,3,5,2,2,1,5,9
1648,a56ba38a-df84-4ffa-939e-ad5927bfd402,asp,63ecad8f4a25b8196a94d9e396bb2ce9,5,6,7,0,4,2,5,11
1649,855be7cc-e989-404d-aaa0-113cff9d4507,asp,ef2c78dfc0d221ff871d517b45f13903,5,8,6,0,1,2,4,9
1650,4b0120be-fe62-4bc0-92ae-a8009bcc196f,asp,6c9588d7037a62dd4df97b9c2908e584,6,7,6,0,4,3,3,11
1651,7ce8fc99-c34a-45e8-b98b-4babbc1c0da1,asp,c40a42c67c9ba2b3210e3d1cef99865c,2,11,6,0,2,2,4,9
1652,22d0b71f-6497-4e0f-9801-12338d297e86,asp,4bccd59d96b7ae8dcc7e3a36f10a0951,3,5,7,1,0,0,7,9
1653,d273eb10-4176-4a61-9b6e-9ddf3f7684b8,asp,f2552984f7b69a7c43fc82c1b2833497,4,13,4,0,4,3,2,9
1654,6177fbc3-d456-4902-8fd0-a816d36a94ba,asp,aeb4f4644a2d74c965adbfd3cb404647,2,8,6,1,1,3,3,9
1655,b6e29489-640d-407e-bf1d-18c479dbef75,asp,17cc6af624a0576b1453ecf5015a419e,2,13,5,0,2,3,3,9
1656,ef859e16-7d00-48b9-9d93-b026c5c6b461,asp,4c88b976871335fd061afe3c1e471523,6,3,5,2,1,2,4,9
1657,1a31038d-609c-4cbe-a9b2-48bdcf839dd5,asp,356239607c9cf72cd372b61574e655d3,7,7,4,1,3,2,3,9
1658,1f90ce63-ed60-4e74-adcd-c25d6c9eff77,asp,4bccd59d96b7ae8dcc7e3a36f10a0951,3,5,7,1,0,0,7,9
1659,676de8fe-b072-4e3f-b58b-eb28ecb6754f,asp,ba277d24acaa5c02db9f46e0370c7995,4,10,4,1,2,4,2,9
